slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
aloe,Cape Aloe,450,mg,,,FALSE,
amp-k,Berberine Hydrochloride Hydrate,1,g,,,FALSE,
amp-k,Alpha Lipoic Acid,200,mg,,,FALSE,
artemisinin-emulsion,Artemisinin,40,mg,,,FALSE,
artemisinin-emulsion,Phosphatidylcholine,450,mg,,from purified soy bean lecithin,FALSE,
bio-spore,Calories,5,,,,FALSE,
bio-spore,Total Carbohydrate,<1,g,<1,,FALSE,
bio-spore,Protein,1,g,,,FALSE,
bio-spore,Sodium,5,mg,<1,,FALSE,
bio-spore,Serum-Derived Bovine Immunoglobulin Concentrate,1,g,,ImmunoLin®,FALSE,
bio-spore,Immunoglobulin G (IgG),480,mg,,,FALSE,
bio-spore,Bacillus coagulans (SNZ1969),26,mg,,2 Billion CFU,FALSE,
bio-spore,Bacillus clausii (B106),13,mg,,1 Billion CFU,FALSE,
bio-spore,Bacillus subtilis (HS43),6.5,mg,,1 Billion CFU,FALSE,
bpc-157-kpv,BPC-157,500,mcg,,,FALSE,
bpc-157-kpv,KPV,500,mcg,,,FALSE,
bpc-157-tb-500,BPC-157,500,mcg,,,FALSE,
bpc-157-tb-500,TB-500,500,mcg,,,FALSE,
cal-mag,Calcium,200,mg,20,"as Hydroxyapatite, Calcium Citrate USP, DimaCal® Dicalcium Malate, TRAACS® Calcium Bisglycinate Chelate",FALSE,
cal-mag,Phosphorus,40,mg,4,,FALSE,
cal-mag,Magnesium,175,mg,44,"as DiMagnesium Malate, Magnesium Citrate USP, TRAACS® Magnesium Lysinate Glycinate Chelate",FALSE,
calm,Calories,5,,,,FALSE,
calm,Total Carbohydrate,1,g,<1,,FALSE,
calm,Gamma Aminobutyric Acid (GABA),100,mg,,,FALSE,
calm,L-Theanine,100,mg,,Suntheanine®,FALSE,
calm,Huperzine A,50,mcg,,from Huperzia serrata Whole Plant Extract,FALSE,
candida-support,Biotin,300,mcg,"1,000",,FALSE,
candida-support,Sodium,20,mg,<1,from Sodium Caprylate,FALSE,
candida-support,Berberine Hydrochloride Hydrate,150,mg,,,FALSE,
candida-support,Oregano Leaf Extract,150,mg,,,FALSE,
candida-support,Sodium Caprylate,150,mg,,,FALSE,
candida-support,Cinnamon Bark Extract,100,mg,,,FALSE,
candida-support,German Chamomile (Flower),100,mg,,,FALSE,
candida-support,Ginger Root,100,mg,,,FALSE,
candida-support,Pau D'Arco Inner Bark Extract,100,mg,,,FALSE,
candida-support,Rosemary Leaf Extract,100,mg,,,FALSE,
cardio-ox,Pomegranate Fruit Extract,650,mg,,Pomanox®,FALSE,
cardio-ox,French Maritime Pine Bark Extract,150,mg,,OLIGOPIN®,FALSE,
cardio-ox,Olive Fruit Extract,50,mg,,Mediteanox®,FALSE,
cat-s-claw-elite,Vitamin D,25,mcg,125,as Cholecalciferol (D3),FALSE,
cat-s-claw-elite,Liquid Cat's Claw bark extract (Uncaria tomentosa),,,,,TRUE,Proprietary Blend
cat-s-claw-elite,Phospholipids (from purified sunflower seed lecithin),,,,,TRUE,Proprietary Blend
cat-s-claw-elite,Monolaurin,,,,as Glycerol monolaurate,TRUE,Proprietary Blend
cat-s-claw-elite,Liquid Lemon Balm leaf extract,,,,,TRUE,Proprietary Blend
cat-s-claw-elite,Lemon Balm leaf oil,,,,,TRUE,Proprietary Blend
cat-s-claw-elite,Natural Mint oil,,,,,TRUE,Proprietary Blend
cat-s-claw-elite,Rose flower oil,,,,,TRUE,Proprietary Blend
cat-s-claw-v-max,Vitamin D,62.5,mcg,313,as Cholecalciferol (D3),FALSE,
cat-s-claw-v-max,Liquid Cat's Claw bark extract (Uncaria tomentosa),,,,,TRUE,Proprietary Blend
cat-s-claw-v-max,Highly Purified Phospholipids,,,,,TRUE,Proprietary Blend
cat-s-claw-v-max,Lemon Balm Leaf extract (Melissa officinalis),,,,,TRUE,Proprietary Blend
